state,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
VA,66049,2.63,26.41,72.45,0.76,0.72,17.79,29.84,18.19,14.33,66049,100.0,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,14721,7200,12833,6139,8400.0,7231,9889,16.45,13.61,30.52,21.74,5.97,56.27,19.31,31.2,14.92,27.39,9.43,34.52,12.67,11.25,2.98,64.0,59.7,69.62,69.8,63.78,72.3,2858,5.88,1108,30.69,43.05,47.02,50.54,0.51,0.72,0.79,0.85,96.8,0.35,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,1.68,70.07,52.6,73.84,86.06,138.0,205.48,123.0,183.14,61164.0,91072.1,443.2,205.5,81.87,90.58,9.42,0.0,0.0,9.42,8.0,8.0,38.7,51.2,1290.5,3.33,62.0,5585480.0,89.13,0.0,5.8,83166.8,753.42
TX,101484,2.83,5.83,87.21,2.63,8.77,14.14,28.92,12.52,4.73,101484,100.0,35934,89.64,0.85,34.13,13.22,4.08,9.17,40198,14115,14509,11766,13014,12912,9852.0,10522,7771,7.73,5.36,18.76,18.31,4.74,74.16,14.53,18.82,11.26,25.69,10.29,23.44,15.87,13.21,3.23,77.5,74.52,84.99,75.71,70.98,76.4,1198,1.78,4731,10.48,21.81,32.28,44.56,0.49,1.02,1.5,2.08,89.97,1.19,4.66,3.62,2.81,2.99,2.5,67.55,4.75,36.41,3,3395,91.35,63.45,5.24,40.27,1977,3.79,0.16,52900,68700,87200,34300,334,397,483,149,469,24.3,21.3,12.7,0,4,4.66,67.97,43.88,83.76,92.25,160.0,138.21,138.0,119.2,73461.0,63454.3,459.1,138.2,92.83,92.5,2.5,3.12,0.0,5.62,9.0,8.0,8.1,44.4,2286.9,1.22,127.0,8393341.0,86.25,0.0,5.62,72500.1,566.64
TN,165121,2.36,15.78,82.73,1.04,0.67,16.31,32.25,18.75,13.77,165121,100.0,19923,72.35,0.54,34.7,30.68,9.69,15.24,26131,12108,13169,6838,8519,8899,5971.0,11800,32189,20.8,12.59,29.21,21.73,7.11,55.4,12.82,29.18,14.23,27.6,12.18,37.0,15.95,14.23,2.88,62.09,57.18,75.41,64.48,59.22,65.69,5720,4.81,3274,36.01,44.26,55.62,61.91,0.71,0.88,1.1,1.23,96.24,0.48,3.15,1.86,2.2,2.4,2.01,54.26,2.29,59.26,2,6480,91.52,49.86,7.04,33.72,1960,6.38,0.28,35900,49800,69600,33700,187,261,343,156,332,26.5,20.4,13.6,354,130,1.98,69.57,47.86,77.77,87.92,302.0,175.62,281.0,163.41,253782.0,147582.0,840.3,175.6,87.37,95.36,4.64,0.0,0.0,4.64,31.0,8.0,41.3,80.0,2063.3,1.93,328.0,16259984.0,93.05,0.0,10.26,94556.8,1693.42
AZ,405390,2.49,4.28,75.25,2.2,29.25,15.91,31.47,16.94,11.34,405312,99.98,21748,76.14,0.59,36.28,25.85,6.58,16.38,27208,11184,12560,9268,6689,7745,6272.0,7160,79287,20.16,9.36,21.39,20.71,8.12,58.52,9.49,28.85,10.35,26.28,11.94,36.79,16.19,14.15,3.1,65.86,61.93,74.97,68.55,61.52,68.39,12404,4.29,43397,18.97,28.48,35.61,44.27,2.03,3.05,3.81,4.74,72.89,4.14,6.32,3.82,2.42,2.59,2.24,55.14,7.3,62.99,2,20653,88.74,51.44,2.07,22.06,1971,6.88,0.38,52200,66800,85600,33400,260,327,406,146,377,29.6,21.7,12.5,437,102,10.71,34.8,41.54,73.61,79.3,745.0,165.56,685.0,152.23,516410.0,114762.6,693.2,165.6,99.01,75.57,3.09,20.0,0.67,23.76,30.0,9.0,117.3,161.9,2503.8,4.29,497.0,46229100.0,91.95,5.0,4.03,102735.7,969.6
OR,437319,2.34,7.67,84.64,5.3,3.17,11.86,25.57,12.29,12.83,437398,100.0,25592,75.66,0.75,43.45,26.59,6.9,15.46,32424,14478,15527,8075,8653,9400,8390.0,8147,62058,14.53,5.62,17.1,25.95,6.16,62.61,15.11,26.06,14.43,29.23,14.55,35.03,17.45,16.07,2.96,66.43,63.51,76.28,67.2,61.73,70.4,11790,3.97,33601,22.36,29.91,38.56,50.21,1.72,2.3,2.96,3.86,90.01,2.17,5.0,2.88,2.27,2.47,2.05,57.6,3.49,56.17,2,11100,94.4,52.98,5.5,30.54,1947,4.47,0.64,44500,59200,83300,38800,269,340,418,149,397,25.8,20.2,14.3,1553,149,7.68,47.82,46.0,76.24,85.35,769.0,167.68,684.0,149.14,325000.0,70864.3,422.6,167.7,91.4,92.46,3.12,1.95,1.69,6.76,37.0,9.0,130.0,129.1,3386.2,11.41,345.0,58562444.0,88.95,5.0,4.81,127691.9,1841.38
CA,133107,2.53,1.45,72.98,21.86,10.07,11.6,25.37,11.61,10.78,133107,100.0,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,23111,23117,21263,19955,13172.0,14736,6791,5.15,3.85,12.38,31.23,3.95,67.04,25.49,18.92,6.72,37.65,9.77,32.32,13.42,11.64,3.04,79.26,77.43,92.28,78.84,57.54,66.06,1217,1.37,29516,22.23,32.19,43.13,51.23,4.93,7.14,9.56,11.36,72.79,5.83,4.13,2.82,2.51,2.7,2.27,60.49,6.41,52.31,2,2312,95.79,56.29,1.56,16.65,1961,1.2,0.27,272900,340000,420200,147300,610,740,935,325,795,26.9,23.1,11.2,0,18,22.17,41.72,49.81,82.48,85.95,194.0,139.65,187.0,134.62,64800.0,46647.6,334.0,139.7,82.16,90.21,1.55,5.67,2.06,9.28,8.0,8.0,292.5,21.3,6260.9,1.53,100.0,23400000.0,96.39,10.0,4.12,168449.5,620.53
CT,130474,2.66,36.14,53.85,2.41,13.22,17.06,34.55,19.17,10.81,130474,100.0,25811,73.04,0.47,37.07,26.28,14.61,12.75,31163,12968,16127,9616,7750,11739,7014.0,7420,25481,21.29,11.86,28.97,26.7,9.25,56.71,16.41,37.38,14.02,30.0,10.37,50.43,14.2,12.44,3.16,45.44,38.63,53.9,44.87,50.49,60.14,12972,15.07,10633,23.59,31.16,38.39,46.52,1.92,2.54,3.13,3.79,79.35,3.93,7.07,4.13,2.41,2.65,2.3,34.96,4.9,67.53,2,5071,90.62,31.78,10.18,32.97,1943,7.53,0.49,110400,145000,189200,78800,332,487,594,262,568,30.0,23.5,14.9,1344,16,8.15,53.51,45.53,77.29,81.55,390.0,326.08,350.0,292.63,145000.0,121233.4,371.8,326.1,74.62,79.23,17.44,3.33,0.0,20.77,12.0,10.0,167.4,19.5,6679.9,9.54,100.0,17939552.0,89.74,5.0,3.08,149991.2,2127.02
FL,124773,2.47,29.09,68.24,1.75,3.0,23.68,42.67,28.84,7.94,124773,100.0,23453,85.3,0.67,38.24,17.18,4.59,11.89,34764,13247,15763,7676,11546,10151,8050.0,9096,25518,22.32,5.59,14.48,40.72,5.56,63.45,3.6,33.42,6.23,37.49,9.32,48.87,13.45,11.51,2.93,61.16,57.44,70.74,62.15,72.28,78.45,5233,7.88,5615,24.42,32.56,43.94,52.06,1.1,1.47,1.98,2.34,92.68,0.85,3.55,1.92,2.26,2.48,2.08,49.61,4.27,58.18,2,4779,91.35,45.17,2.24,16.91,1974,3.43,0.27,52100,72400,99000,46900,265,353,449,184,444,31.2,19.4,12.8,148,30,4.5,48.67,34.91,58.18,81.03,288.0,212.14,275.0,202.56,280695.0,206759.8,974.6,212.1,87.98,71.97,18.15,1.59,0.0,19.75,19.0,7.0,109.8,65.6,1903.4,2.82,218.0,18107294.0,95.49,5.0,6.6,133378.2,1981.45
OH,70487,2.59,17.38,81.61,0.51,0.65,16.05,28.26,15.37,13.59,70487,100.0,21407,69.94,0.31,30.37,31.35,14.47,20.99,26838,10648,11196,8112,5418,15847,3530.0,7654,13999,20.87,9.79,31.67,10.88,8.74,53.25,23.26,27.3,21.54,21.14,12.56,30.85,15.9,14.39,3.06,62.98,58.23,65.59,60.85,59.71,65.42,2855,5.0,765,15.42,20.0,22.48,26.93,0.17,0.22,0.24,0.29,97.1,0.28,4.94,3.37,2.47,2.53,2.41,56.97,2.14,51.98,2,2315,92.17,55.8,8.42,46.39,1946,8.94,0.58,31300,42000,58600,27300,180,247,316,136,351,27.6,17.1,13.1,2,8,1.09,78.59,50.9,84.72,91.94,101.0,142.86,94.0,132.96,108785.0,153872.8,1077.1,142.9,86.22,94.06,3.96,1.98,0.0,5.94,6.0,9.0,52.8,20.2,3485.1,1.06,45.0,5653511.0,93.07,0.0,5.94,79967.1,1497.92
CA,3485398,2.86,13.99,52.83,9.81,39.92,14.46,31.22,15.72,8.96,3485398,100.0,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,22191,11257,12901,13875,6354.0,7111,643809,18.86,18.4,33.0,22.96,8.34,61.71,18.43,21.42,15.86,27.29,9.92,43.23,14.61,12.26,3.48,65.54,59.78,74.48,69.13,54.81,60.83,212238,9.32,1336665,20.75,32.13,43.01,56.44,7.96,12.32,16.49,21.64,50.09,17.45,14.44,9.19,2.8,2.87,2.76,40.31,22.26,72.02,2,82558,93.65,39.42,2.93,21.03,1959,4.11,0.98,164100,244500,388400,224300,413,544,709,296,600,30.4,25.3,11.9,4597,3109,38.35,35.47,46.34,81.86,85.0,8295.0,239.31,7683.0,221.65,5480855.0,158122.41,660.7,239.3,90.02,62.51,13.38,20.99,2.82,37.19,406.0,13.0,80.1,486.2,7168.1,10.92,2482.0,488050464.0,92.62,5.0,4.89,140802.3,2414.77
WA,177196,2.36,1.93,93.28,2.08,2.08,13.38,26.71,13.31,14.25,177196,100.0,22192,70.42,0.72,40.84,30.25,10.99,18.11,28778,12375,12735,8439,5783,7316,8069.0,7668,29863,17.34,5.74,16.79,21.03,8.12,55.06,10.77,28.88,12.42,26.95,13.7,30.89,17.67,15.82,2.94,63.8,62.52,72.11,67.01,57.16,65.71,4071,3.0,6997,14.09,20.14,25.44,29.0,0.56,0.8,1.0,1.15,94.7,0.85,4.16,2.52,2.29,2.46,2.06,61.6,2.52,53.68,2,4728,94.08,57.23,5.54,35.03,1952,4.96,0.8,38700,51100,70600,31900,208,278,347,139,344,28.2,19.3,12.6,259,56,3.95,52.41,46.37,79.52,86.38,240.0,122.48,218.0,111.25,137000.0,69913.7,570.8,122.5,96.88,95.0,2.5,1.25,0.42,4.17,16.0,9.0,136.1,57.9,3058.9,4.41,80.0,17430772.0,90.83,10.0,6.67,88952.5,795.08
NJ,58012,2.81,5.11,74.68,2.09,75.62,13.67,29.54,14.16,9.09,58012,100.0,25655,78.71,0.44,24.77,20.77,13.18,9.8,27288,11089,11488,10870,15755,13355,9197.0,9996,10513,18.18,28.42,49.46,10.71,10.87,60.52,29.24,13.43,32.79,14.66,11.58,37.55,17.32,14.53,3.29,59.81,56.12,66.57,61.43,53.42,60.06,3156,8.03,31959,14.61,24.34,33.53,47.62,8.05,13.41,18.47,26.24,17.73,30.91,8.4,6.05,2.8,2.84,2.79,22.08,16.96,78.25,2,1980,91.24,21.76,2.37,36.21,1940,11.73,1.74,108200,150400,189700,81500,339,451,579,240,505,27.5,28.5,13.0,189,25,55.09,25.9,54.33,79.63,81.87,161.0,284.45,142.0,250.88,62373.0,110199.6,387.4,284.5,98.28,76.4,1.86,21.74,0.0,22.36,8.0,6.0,45.0,1.3,44229.9,27.8,50.0,12945918.0,88.2,0.0,4.97,228726.5,871.02
NJ,41711,3.28,29.58,57.37,3.96,19.33,29.2,49.87,35.94,8.48,41711,100.0,28289,78.65,0.72,33.31,25.0,10.16,11.84,32966,11252,12735,9591,12237,9675,7729.0,7647,7561,21.96,15.92,34.0,23.41,8.85,57.84,15.94,32.03,15.01,23.85,7.62,61.76,9.73,8.74,3.25,50.14,42.94,59.12,44.96,67.51,73.06,2757,12.96,6989,24.7,37.73,50.91,63.13,4.14,6.32,8.53,10.58,72.41,7.03,10.59,6.86,2.7,2.71,2.69,32.54,10.53,65.85,2,845,93.77,32.33,7.46,31.01,1949,8.98,1.69,95600,126700,157000,61400,407,569,723,316,640,29.9,28.0,18.9,105,17,16.76,50.29,38.48,60.05,83.44,124.0,298.94,114.0,274.83,50000.0,120540.0,403.2,298.9,74.3,83.06,10.48,4.84,1.61,16.94,6.0,11.0,77.4,5.4,7709.4,12.35,49.0,6741975.0,91.94,0.0,4.84,162535.59,1501.93
FL,280015,2.44,25.05,70.9,1.35,15.0,13.0,27.51,13.44,13.15,280015,100.0,22772,75.21,0.42,32.56,28.72,9.46,14.7,27662,13277,15785,6841,10172,10037,8192.0,10142,52557,19.44,11.47,29.37,18.7,6.54,60.13,9.91,23.42,13.4,25.73,15.01,34.1,18.14,16.66,3.01,58.62,51.4,63.27,60.73,63.78,70.03,15174,7.25,22291,8.89,15.67,22.85,35.71,0.71,1.25,1.82,2.84,82.17,3.17,5.15,3.13,2.35,2.46,2.22,57.93,6.03,59.72,2,14881,88.52,55.46,5.31,31.03,1963,10.12,0.71,43000,59000,86800,43800,236,334,416,180,408,27.2,21.9,13.0,423,140,7.96,44.91,47.85,77.94,84.29,824.0,284.25,737.0,254.24,631254.0,217762.41,766.1,284.3,94.2,76.33,11.77,11.29,0.24,23.3,41.0,14.0,67.3,112.6,2487.1,3.3,644.0,49266060.0,89.44,10.0,4.98,169952.09,3235.45
